teff (K),abs (mag),spect
3870.196881,-0.786,K2III
5861.844882,1.73,F7IV
6188.662586,3.704,F5V
4102.908021,0.472,G8III
7753.30125,1.188,A7IV
5456.447905,3.887,G5V
3418.744296,-1.363,M1III
5999.677148,3.169,F7V
5162.736309,5.071,G8III
4876.335042,4.378,K0/K1VCN...
5743.562896,2.773,F8V
5534.780311,3.467,G1/G2V
4009.598226,1.057,K2III
3527.233254,-1.129,M3IIIvar
6035.416236,2.581,F5V
4509.982388,-10.83,F8Iab:
4454.368724,1.423,G8/K0III
6117.812585,4.142,F6V
3561.729765,-0.473,M2III
3482.133851,-1.246,M1III
4344.150422,0.898,K0III
5397.784988,4.804,G3V
3832.138584,-0.737,K2/K3III
4094.355838,-0.388,K0IV
8156.879784,-1.315,B9V...
4146.348526,0.183,K2III
5887.084306,3.119,F6V
7411.202155,2.076,A7III
6266.539286,2.598,F3V
12072.78642,0.688,B9V
3865.757308,-0.275,K3III
7024.448674,1.566,F0IV
3680.917278,0.493,K4III
6352.02231,2.754,F3V
5878.641014,3.892,G0V
5272.171064,5.303,G6V
3886.585003,0.122,K2II
4019.342092,0.677,K0III
10351.66458,0.696,A1Vn
3483.272268,0.915,M1III
4673.508275,2.028,K0III
3653.715834,1.263,K2/K3III
5947.047978,4.307,F7/F8V:
6108.518527,2.737,F3/F5V
4408.629077,1.898,K0:III
6456.413429,2.602,F2V
6408.910425,2.01,F3IV
5755.522428,1.912,F6V
5676.947207,1.34,F2III
4312.784544,0.254,M7/M8IIIe
7502.841344,1.981,A8V
4121.881048,1.715,K1/K2III
3797.827038,0.519,K2/K3III:
4352.081325,2.159,G1V
4249.843661,1.158,K1/K2III
4070.644904,1.865,K2IIICN...
5791.777837,3.929,F7V
4587.656995,0.831,G8IV...
4857.93623,0.811,G8III...
4512.156136,0.103,G8/K0III
4259.232473,0.141,G8/K0III
5132.500556,6.22,G8V
3529.585527,0.136,M0III
5849.326254,2.51,F7V
3949.230414,0.633,K2III
4443.869322,1.863,G8/K0IV
3983.900711,0.35,K2III
3856.916235,-0.252,K2III
5404.604679,4.848,G5V
5105.663875,5.375,G6V
11150.61722,-0.07,B9Vn
5001.727254,5.182,G8/K0V
5719.829123,4.781,G0V
9291.838881,0.983,A2V
5516.731113,4.314,G3V
5343.991492,3.48,G3V
5653.893575,3.807,G1/G2V
3952.351102,0.473,K2III
7456.66983,0.752,F0V
6164.818732,3.475,F3V
5646.260913,3.336,F8V
4151.638924,1.096,K2III
4624.294378,1.751,G8III
4092.650744,-0.041,K0III
6241.940466,3.296,F3V
6071.692352,2.44,F3V
7686.677309,1.254,A8V
4656.958584,0.635,G8II-III
3528.4089,0.033,M5III
3780.957145,-0.148,K3III
4318.622494,0.797,K0III
5870.22793,2.62,F5V
3248.488181,-0.924,M2III:
6316.472199,2.397,F5V
6237.049621,1.678,F3III
6227.296609,2.538,F3V
7381.272968,1.452,A9V
5404.604679,5.07,G2V
5767.544413,4.221,G1Vw...
4352.081325,0.96,K0IV
4707.053246,-0.655,G8III
4233.073452,1.23,K1III
9412.907313,-0.272,A2V
6291.381901,1.882,F3V
11947.09227,-1.821,B7III
6150.622251,2.691,F5V
6160.077476,1.145,F2V
5418.308916,5.157,G5IV-V
8950.805225,1.51,A0V
4540.655236,-0.565,G8/K0III
5808.075502,4.043,F7V
5904.062214,3.377,F6V
4332.321548,1.839,K0III
3528.4089,0.273,N0v
6576.3342,3.031,F3V
5642.454231,3.407,G0IV
7307.75355,1.886,A8IV
14151.39786,-3.222,O9IIInn
5230.851598,3.394,K3IV
5038.645818,3.232,K0:Ib
4615.066548,0.842,K0II
5523.933113,2.108,F8V
6113.16114,3.953,F6V
11088.40994,0.303,B2.5V
3546.161948,-1.766,M4II-III
5688.56245,3.961,G2/G3V
5828.609647,4.818,F9V
4540.655236,0.753,G8II
4486.24273,1.934,K0III
5604.737114,4.336,G2V
3789.368622,-1.683,K3III
4707.053246,1.194,K0III
4030.785068,2.447,K2/K3III:
5513.138907,4.138,F8/G0V
4652.25696,0.919,G8IV
5484.610294,4.497,G5V
5542.041421,1.407,F7IV
10457.02616,0.392,B9/B9.5IV
4400.438402,0.135,K0III
6053.486361,3.067,F5V
3926.020043,-0.007,K2III
6058.025058,2.757,F5V
